Lp.,Oddział NFZ,Krótka nazwa Oddziału NFZ,Świadczeniodawca - Nazwa,Świadczeniodawca - Miejscowość,Świadczeniodawca - Adres,Świadczeniodawca - Telefon,Świadczeniodawca - adres mailowy
39,01,Dolnośląski OW NFZ,NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ POWIATOWE CENTRUM ZDROWIA SP. Z O.O.,LWÓWEK ŚLĄSKI,GUSTAWA MORCINKA 7,(075)782 01 00,sekretariat@pczlwowek.pl
40,02,Kujawsko-Pomorski OW NFZ,SZPITAL UNIWERSYTECKI NR 1 IM. DR. ANTONIEGO JURASZA W BYDGOSZCZY,BYDGOSZCZ,M.SKŁODOWSKIEJ-CURIE 9,052 585-42-80,SEKRETARIAT@JURASZA.PL
41,02,Kujawsko-Pomorski OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ IM. MACIEJA Z MIECHOWA W ŁASINIE,ŁASIN,RADZYŃSKA 4,564664204,SPZOZLASIN@POCZTA.ONET.PL
42,02,Kujawsko-Pomorski OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ,RADZIEJÓW,SZPITALNA 3,(054) 28-56-200,METORG@PRO.ONET.PL
43,02,Kujawsko-Pomorski OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W RYPINIE,RYPIN,3-GO MAJA 2,054 23 08 728,SPZOZRYPIN@INTERIA.PL
44,02,Kujawsko-Pomorski OW NFZ,WIELOSPECJALISTYCZNY SZPITAL MIEJSKI IM. DR E. WARMIŃSKIEGO SPZOZ W BYDGOSZCZY,BYDGOSZCZ,SZPITALNA 19,37-09-400,SEKRETARIAT@SZPITAL.BYDGOSZCZ.PL
45,02,Kujawsko-Pomorski OW NFZ,SPZOZ SPECJALISTYCZNY SZPITAL MIEJSKI IM. M. KOPERNIKA,TORUŃ,BATOREGO 17/19,(056) 65-57-530,INFO@MED.TORUN.PL
46,02,Kujawsko-Pomorski OW NFZ,WOJEWÓDZKI SZPITAL OBSERWACYJNO-ZAKAŹNY IM. TADEUSZA BROWICZA W BYDGOSZCZY,BYDGOSZCZ,ŚW. FLORIANA 12,052 32-55-600,SEKRETARIAT@WSOZ.PL
47,02,Kujawsko-Pomorski OW NFZ,WOJEWÓDZKI SZPITAL ZESPOLONY IM. L. RYDYGIERA W TORUNIU,TORUŃ,ŚW. JÓZEFA 53-59,(056) 67-93-500,00031606800000@ZOZ.ORG.PL
48,02,Kujawsko-Pomorski OW NFZ,SZPITAL WIELOSPECJALISTYCZNY IM. DR. LUDWIKA BŁAŻKA W INOWROCŁAWIU,INOWROCŁAW,POZNAŃSKA 97,(052) 35-45-500,MARKETING@SZPITALINO.PL
49,02,Kujawsko-Pomorski OW NFZ,SAMODZIELNY PUBL.ICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W MOGILNIE,MOGILNO,KOŚCIUSZKI 10,(052)315-25-15,SEKRETARIAT@MPCZ.PL
50,02,Kujawsko-Pomorski OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W BRODNICY,BRODNICA,WIEJSKA 9,56 6689100,sekretariat@zozbrodnica.pl
51,02,Kujawsko-Pomorski OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W CHEŁMNIE,CHEŁMNO,PLAC DR RYDYGIERA 1,(056) 677-26-07,SEKRETARIAT@ZOZ.CHELMNO.PL
52,02,Kujawsko-Pomorski OW NFZ,REGIONALNY SZPITAL SPECJALISTYCZNY IM. DR  WŁADYSŁAWA BIEGAŃSKIEGO W GRUDZIĄDZU,GRUDZIĄDZ,DR. LUDWIKA RYDYGIERA 15/17,566413400,SEKRETARIAT.DYREKCJA@BIEGANSKI.ORG
53,02,Kujawsko-Pomorski OW NFZ,SPZOZ 10 WOJSKOWY SZPITAL KLINICZNY Z POLIKLINIKĄ,BYDGOSZCZ,POWSTAŃCÓW WARSZAWY 5,"261417220,261417222, OBSŁ.SZOI 261417376",SZPITAL@10WSK.MIL.PL
54,02,Kujawsko-Pomorski OW NFZ,SAMODZIELNY PUBLICZNY WIELOSPECJALISTYCZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W BYDGOSZCZY,BYDGOSZCZ,MARKWARTA 4-6,58-26-200,SEKRETARIAT@SZPITALMSW.BYDGOSZCZ.PL
55,02,Kujawsko-Pomorski OW NFZ,"""SZPITAL TUCHOLSKI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",TUCHOLA,NOWODWORSKIEGO 14-18,52 33 60 503,SZPITAL@TUCHOLA.PL
56,02,Kujawsko-Pomorski OW NFZ,POWIATOWY SZPITAL W ALEKSANDROWIE KUJAWSKIM SP. Z O.O.,ALEKSANDRÓW KUJAWSKI,SŁOWACKIEGO 18,054 282-80-01,SPZCAL@POCZTA.ONET.PL
57,02,Kujawsko-Pomorski OW NFZ,SZPITAL POWIATOWY IM. DR A.GACY I DR J.ŁASKIEGO - NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W WIĘCBORKU,WIĘCBORK,MICKIEWICZA 26,(052) 38-96-231,SEKRETARIAT@SZPITAL-WIECBORK.PL
58,02,Kujawsko-Pomorski OW NFZ,PAŁUCKIE CENTRUM ZDROWIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŻNIN,SZPITALNA 30,52 30-31-341,SZPITALZNIN@SZPITALZNIN.PL
59,02,Kujawsko-Pomorski OW NFZ,"NZOZ ""NOWY SZPITAL SP. Z O.O."" PROWADZONY PRZEZ NOWY SZPITAL SP. Z O.O.",ŚWIECIE,WOJSKA POLSKIEGO 126,(41) 2401502,SEKRETARIAT@NOWYSZPITAL.PL
60,02,Kujawsko-Pomorski OW NFZ,"NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""NOWY SZPITAL W NAKLE I SZUBINIE SPÓŁKA Z O.O.,,",NAKŁO NAD NOTECIĄ,MICKIEWICZA 7,41 240 10 02;  41 240 20 02,0400873@ZOZ.ORG.PL
61,02,Kujawsko-Pomorski OW NFZ,NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ NOWY SZPITAL W WĄBRZEŹNIE - NOWY SZPITAL W WĄBRZEŹNIE SP. Z O.O.,WĄBRZEŹNO,WOLNOŚCI 27,056/688 17 25,MJODKOWSKA@NOWYSZPITAL.PL
62,02,Kujawsko-Pomorski OW NFZ,SZPITAL UNIWERSYTECKI NR 2 IM. DR JANA BIZIELA W BYDGOSZCZY,BYDGOSZCZ,UJEJSKIEGO 75,(52) 36-55-799,KANCELARIA@BIZIEL.PL
63,02,Kujawsko-Pomorski OW NFZ,"NZOZ ""SZPITAL LIPNO"" UTWORZONY PRZEZ SZPITAL LIPNO SPÓŁKA Z O.O.",LIPNO,NIESZAWSKA 6,054 288 0415,SPZOZLIPNO@PRO.ONET.PL
64,02,Kujawsko-Pomorski OW NFZ,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY WE WŁOCŁAWKU,WŁOCŁAWEK,WIENIECKA 49,54 413 18 70,SEKRETARIAT@SZPITAL.WLOCLAWEK.PL
65,02,Kujawsko-Pomorski OW NFZ,SZPITAL POWIATOWY SP. Z O.O. W CHEŁMŻY,CHEŁMŻA,SZEWSKA 23,(056)6752255 LUB (056)6392234,SZPITALCHELMZA@GMAIL.COM
66,02,Kujawsko-Pomorski OW NFZ,SZPITAL POWIATOWY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,GOLUB-DOBRZYŃ,KOPPA 1E,056-683-22-91,SEKRETARIAT@SZPITALGOLUB.PL
67,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ,ŚWIDNIK,BOLESŁAWA LEŚMIANA 4,081 7514215,sekretariat@spzozswidnik.pl
68,03,Lubelski  OW NFZ,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM. STEFANA KARDYNAŁA WYSZYŃSKIEGO SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE,LUBLIN,ALEJA KRAŚNICKA 100,81 5374171,szpital@szpital.lublin.pl
69,03,Lubelski  OW NFZ,6 SZPITAL WOJSKOWY Z PRZYCHODNIĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ,DĘBLIN,SZPITALNA 2,261 51 85 03,sekretariat@szpitaldeblin.pl
70,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY SZPITAL KLINICZNY NR 4  W LUBLINIE,LUBLIN,DR. K. JACZEWSKIEGO 8,(081) 7244226,szpital@spsk4.lublin.pl
71,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY SZPITAL KLINICZNY NR 1 W LUBLINIE,LUBLIN,STASZICA 16,081 532-39-35,sekretariat@spsk1.lublin.pl
72,03,Lubelski  OW NFZ,SZPITAL NEUROPSYCHIATRYCZNY IM. PROF. M. KACZYŃSKIEGO SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ,LUBLIN,ABRAMOWICKA 2,(81) 72 86 402,sekretariat@snzoz.lublin.pl
73,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W LUBLINIE,LUBLIN,GRENADIERÓW 3,817284626,sekretariat@szpitalmsw.pl
74,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŁĘCZNEJ,ŁĘCZNA,KRASNYSTAWSKA 52,(081) 7526300,spzoz@spzoz.powiatleczynski.pl
75,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBARTOWIE,LUBARTÓW,CICHA 14,81 8552041,sekretariat@spzoz-lubartow.pl
76,03,Lubelski  OW NFZ,INSTYTUT  MEDYCYNY WSI IM. WITOLDA CHODŹKI,LUBLIN,JACZEWSKIEGO 2,81 7184400,imw@imw.lublin.pl
77,03,Lubelski  OW NFZ,1 WOJSKOWY SZPITAL KLINICZNY  Z POLIKLINIKĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W LUBLINIE,LUBLIN,ALEJE RACŁAWICKIE 23,+48 261 18 32 00,1SZPITALWOJSKOWY@1WSZK.PL
78,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W BYCHAWIE,BYCHAWA,PIŁSUDSKIEGO 28,81 566 94 41,spzoz@spzoz.bychawa.pl
79,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W JANOWIE LUBELSKIM,JANÓW LUBELSKI,JANA ZAMOYSKIEGO 149,15 84 36 611,sekretariat@szpitaljanowlubelski.pl
80,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W KRAŚNIKU,KRAŚNIK,CHOPINA 13,81 825 13 66,poczta@spzoz.krasnik.pl
81,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PUŁAWACH,PUŁAWY,JÓZEFA BEMA 1,"81 450 22 74, 450 22 77",spzoz@szpitalpulawy.pl
82,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY SZPITAL WOJEWÓDZKI IM. JANA BOŻEGO W LUBLINIE,LUBLIN,MIECZYSŁAWA BIERNACKIEGO 9,81 740-20-39,SEKRETARIAT@JANBOZY.PL
83,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŁUKOWIE,ŁUKÓW,DOKTORA ANDRZEJA ROGALIŃSKIEGO 3,025 7982603,spzoz@spzoz.lukow.pl
84,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W MIĘDZYRZECU PODLASKIM,MIĘDZYRZEC PODLASKI,WARSZAWSKA 2-4,(083) 3718-317,spzozmc@spzozmc.pl
85,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PARCZEWIE,PARCZEW,KOŚCIELNA 136,83 3552102,sekretariat@spzozparczew.pl
86,03,Lubelski  OW NFZ,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W BIAŁEJ PODLASKIEJ,BIAŁA PODLASKA,TEREBELSKA 57-65,083 414-72-11,sekretariat@szpitalbp.pl
87,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W RADZYNIU PODLASKIM,RADZYŃ PODLASKI,WISZNICKA 111,834132200,sekretariat@spzozrp.pl
88,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W CHEŁMIE,CHEŁM,CERAMICZNA 1,82 5623223,szpital@szpital.chelm.pl
89,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W KRASNYMSTAWIE,KRASNYSTAW,SOBIESKIEGO 4,825431522,sekretariat@spzozkrasnystaw.pl
90,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ WE WŁODAWIE,WŁODAWA,AL. JÓZEFA PIŁSUDSKIEGO 64,82 57-25-801,sekretariat@spzoz.wlodawa.pl
91,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W TOMASZOWIE LUBELSKIM,TOMASZÓW LUBELSKI,ALEJE GRUNWALDZKIE 1,/84/6644411,sekretariat@szpital-tomaszow.pl
92,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ,SZCZEBRZESZYN,KLUKOWSKIEGO 3,84 6823 520,BIURO@ZOZ-SZCZEBRZESZYN.PL
93,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY SZPITAL WOJEWÓDZKI IM. PAPIEŻA JANA PAWŁA II W ZAMOŚCIU,ZAMOŚĆ,ALEJE JANA PAWŁA II 10,(084) 6773333,szpital@szpital.zam.pl
94,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W HRUBIESZOWIE,HRUBIESZÓW,PIŁSUDSKIEGO 11,0-84 696-26-11,sekretariat@spzozhrubieszow.pl
95,03,Lubelski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ NR 1 W BEŁŻYCACH,BEŁŻYCE,PRZEMYSŁOWA 44,(81) 516 29 26,sekretariat.zoz1@powiat.lublin.pl
96,03,Lubelski  OW NFZ,ZAMOJSKI SZPITAL NIEPUBLICZNY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ZAMOŚĆ,PEOWIAKÓW 1,(084) 6775010,zamosc@szpital.com.pl
97,03,Lubelski  OW NFZ,ARION SZPITALE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,BIŁGORAJ,POJASKA 5,846882205,BIURO@ARION-SZPITALE.PL
98,03,Lubelski  OW NFZ,POWIATOWE CENTRUM ZDROWIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,OPOLE LUBELSKIE,PRZEMYSŁOWA 4A,"81 820 41 04, 81 820 40 41",sekretariat@pczol.pl
99,04,Lubuski  OW NFZ,105. KRESOWY SZPITAL WOJSKOWY Z PRZYCHODNIĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŻARACH,ŻARY,DOMAŃSKIEGO 2,68 470 78 68,sekretariat@105szpital.pl
100,04,Lubuski  OW NFZ,SZPITAL UNIWERSYTECKI  IMIENIA KAROLA MARCINKOWSKIEGO W ZIELONEJ GÓRZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ZIELONA GÓRA,ZYTY 26,68 32 96 236,sekretariat@szpital.zgora.pl
101,04,Lubuski  OW NFZ,WIELOSPECJALISTYCZNY SZPITAL WOJEWÓDZKI W GORZOWIE WIELKOPOLSKIM SP. Z O.O.,GORZÓW WIELKOPOLSKI,JANA DEKERTA 1,501 461 117,sekretariat@szpital.gorzow.pl
102,04,Lubuski  OW NFZ,NOWY SZPITAL WE WSCHOWIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOSCIĄ,WSCHOWA,KS. KOSTKI 33,662 376 878,sekretariat.wschowa@nowyszpital.pl
103,04,Lubuski  OW NFZ,LUBUSKIE CENTRUM ORTOPEDII IM. DR. LECHA WIERUSZA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚWIEBODZIN,ZAMKOWA 1,68 47 50 653,sekretariat@loro.pl
104,04,Lubuski  OW NFZ,SZPITAL MIĘDZYRZECKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MIĘDZYRZECZ,KONSTYTUCJI 3 MAJA 35,504 231 706,sekretariat@szpitalmiedzyrzecz.pl
105,04,Lubuski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ SULĘCIN,SULĘCIN,WINCENTEGO WITOSA 7,663 489 168,sekretariat.zozsul@gmail.com
